Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_Cases,Deaths,Total_Tests,Tests,CASES_per_Test,Death_in_Closed_Cases,Rank_by_Testing_rate,Rank_by_Death_rate,Rank_by_Cases_rate,Rank_by_Death_of_Closed_Cases,TOP_DEATH,TOP_TEST
"Libya","9707","244","25","4","1047","8487","","1410","25","12855","12855","6883928","0.1418","144","103","105","14","90","144","Libya"
"Liechtenstein","99","1","26","","88","10","","2595","26","23595","23595","38143","0.0112","124","101","87","165","89","124","Liechtenstein"
"Lithuania","2528","32","30","1","1747","699","6","931","30","218825","218825","2716679","0.0448","20","98","125","70","86","20","Lithuania"
"Luxembourg","7637","71","198","","6903","610","3","12174","198","1126386","1126386","627342","0.0176","4","32","16","148","31","4","Luxembourg"
"MS Zaandam","9","","0","","","7","","","","0","","","1","","","","1","114","195","MS Zaandam"
"Macao","46","","0","","46","0","","71","","6258","6258","650532","","167","","195","","114","167","Macao"
"Madagascar","14154","80","6","4","13038","939","83","509","6","1942","1942","27783027","0.0134","183","148","150","161","107","183","Madagascar"
"Malawi","5282","42","9","1","2883","2234","4","275","9","2137","2137","19193810","0.0541","181","137","168","54","104","181","Malawi"
"Malaysia","9240","5","4","","8932","183","7","285","4","35535","35535","32422234","0.0138","105","162","167","160","109","105","Malaysia"
"Maldives","6370","145","44","","3915","2431","12","11757","44","184996","184996","541813","0.0061","25","84","17","185","75","25","Maldives"
"Mali","2667","","6","","1993","549","","131","6","1610","1610","20325303","0.059","187","148","188","45","107","187","Mali"
"Malta","1510","40","20","","802","699","","3419","20","376602","376602","441708","0.0111","13","112","75","168","94","13","Malta"
"Martinique","336","","43","","98","222","2","895","43","32586","32586","375224","0.1404","112","85","127","15","76","112","Martinique"
"Mauritania","6848","19","34","","6123","567","3","1468","34","14762","14762","4665419","0.0252","138","93","103","118","82","138","Mauritania"
"Mauritius","346","","8","","334","2","","272","8","161379","161379","1272065","0.0291","32","141","169","109","105","32","Mauritius"
"Mayotte","3160","","143","","2964","157","1","11547","143","47502","47502","273671","0.013","89","41","18","162","40","89","Mayotte"
"Mexico","537031","5792","453","707","367537","111013","3480","4159","453","9383","9383","129117943","0.1373","153","13","57","16","13","153","Mexico"
"Moldova","31937","522","228","7","21885","9131","362","7920","228","45609","45609","4032626","0.0404","93","29","30","84","28","93","Moldova"
"Monaco","150","2","102","","115","31","1","3819","102","1322632","1322632","39280","0.0336","3","53","62","90","49","3","Monaco"
"Mongolia","298","","0","","281","17","1","91","","14103","14103","3285365","","139","","192","","114","139","Mongolia"
"Montenegro","4229","55","129","1","3186","962","","6733","129","70404","70404","628077","0.0248","68","44","36","122","43","68","Montenegro"
"Montserrat","13","","200","","12","0","","2604","200","12220","12220","4992","0.0769","145","31","86","32","30","145","Montserrat"
"Morocco","47638","1325","21","32","32806","14057","31","1289","21","45187","45187","36970089","0.0231","94","111","110","129","93","94","Morocco"
"Mozambique","3115","70","0.6","1","1380","1715","","99","0.6","2623","2623","31367587","0.0143","178","182","191","158","113","178","Mozambique"
"Myanmar","399","5","0.1","","333","60","","7","0.1","2590","2590","54460318","0.0177","179","189","213","147","113","179","Myanmar"
"Namibia","4912","247","16","2","2442","2429","18","1929","16","17960","17960","2547027","0.0165","131","122","92","150","97","131","Namibia"
"Nepal","29645","707","4","6","17964","11555","","1015","4","30083","30083","29206558","0.007","116","162","118","179","109","116","Nepal"
"Netherlands","65054","529","361","10","0","0","51","3795","361","76591","76591","17140202","1","63","17","63","1","17","63","Netherlands"
"New Caledonia","23","","0","","22","1","","80","","41410","41410","285874","","99","","194","","114","99","New Caledonia"
"New Zealand","1654","5","4","","1531","101","6","331","4","131446","131446","5002100","0.0142","38","162","160","159","109","38","New Zealand"
"Nicaragua","4311","","20","","2913","1265","","650","20","0","","6635277","0.0437","","112","139","74","94","195","Nicaragua"
"Niger","1169","2","3","","1082","18","","48","3","372","372","24315155","0.0599","193","169","202","43","110","192","Niger"
"Nigeria","50964","476","5","7","37569","12403","7","246","5","1705","1705","206802324","0.0257","185","155","173","115","108","185","Nigeria"
"North Macedonia","13194","118","266","3","9752","2888","4","6333","266","63596","63596","2083362","0.0538","75","24","40","56","23","75","North Macedonia"
"Norway","10197","35","49","2","9150","783","1","1879","49","108447","108447","5427090","0.028","49","82","93","112","73","49","Norway"
"Oman","83769","163","119","6","78386","4774","151","16350","119","60353","60353","5123430","0.0077","79","46","11","174","44","79","Oman"
"Pakistan","290958","513","28","8","272804","11945","725","1314","28","10673","10673","221460187","0.0223","148","100","109","134","88","148","Pakistan"
"Palestine","17989","383","23","1","10682","7187","","3516","23","41991","41991","5116888","0.0111","98","107","71","167","92","98","Palestine"
"Panama","83855","101","426","17","59174","22837","154","19393","426","66445","66445","4323882","0.0302","69","14","6","101","14","69","Panama"
"Papua New Guinea","361","14","0.4","1","198","159","","40","0.4","1610","1610","8969502","0.0198","187","184","203","141","113","187","Papua New Guinea"
"Paraguay","11817","684","24","5","6783","4864","63","1654","24","23250","23250","7144441","0.0244","125","104","97","126","91","125","Paraguay"
"Peru","567059","8639","818","200","380730","159295","1519","17166","818","86336","86336","33033892","0.0663","58","3","9","38","3","58","Peru"
"Philippines","177579","3896","26","86","113903","60795","717","1618","26","19981","19981","109778515","0.0247","129","101","99","124","89","129","Philippines"
"Poland","59378","767","51","12","40481","16972","85","1569","51","63672","63672","37840722","0.0454","74","78","101","66","71","74","Poland"
"Portugal","54992","291","175","2","40264","12940","39","5395","175","184473","184473","10192461","0.0425","26","34","49","80","33","26","Portugal"
"Qatar","116224","268","69","","112924","3107","64","41393","69","203815","203815","2807805","0.0017","23","65","1","191","60","23","Qatar"
"Romania","74963","1346","164","48","34196","37613","489","3900","164","82783","82783","19219141","0.0844","60","35","61","28","34","60","Romania"
"Russia","942106","4785","110","110","755513","170494","2300","6455","110","229541","229541","145943309","0.0209","17","49","39","140","46","17","Russia"
"Rwanda","2717","73","0.8","1","1705","1001","","209","0.8","27042","27042","12993865","0.0064","118","180","179","182","113","118","Rwanda"
"Réunion","996","51","6","","657","334","3","1111","6","39521","39521","896196","0.0076","104","148","115","176","107","104","Réunion"
"S. Korea","16346","288","6","1","14063","1976","12","319","6","33819","33819","51275415","0.0214","111","148","162","137","107","111","S. Korea"
"Saint Kitts and Nevis","17","","0","","17","0","","319","","26009","26009","53251","","120","","162","","114","120","Saint Kitts and Nevis"
"Saint Lucia","26","","0","","25","1","","142","","26918","26918","183744","","119","","186","","114","119","Saint Lucia"
"Saint Martin","121","","129","","49","67","1","3122","129","63193","63193","38754","0.0926","76","44","77","27","43","76","Saint Martin"
"Saint Pierre Miquelon","5","","0","","1","4","","864","","0","","5790","","","","128","","114","195","Saint Pierre Miquelon"
"San Marino","704","","1237","","657","5","","20742","1237","191833","191833","33941","0.0601","24","1","4","42","1","24","San Marino"
"Sao Tome and Principe","888","3","68","","829","44","","4042","68","15621","15621","219700","0.0178","137","66","59","145","61","137","Sao Tome and Principe"
"Saudi Arabia","303973","1287","102","42","275476","24949","1682","8713","102","129021","129021","34886672","0.0127","39","53","24","163","49","39","Saudi Arabia"
"Senegal","12559","113","16","3","8050","4248","39","748","16","7997","7997","16800813","0.0314","159","122","132","98","97","159","Senegal"
"Serbia","30209","161","79","5","27908","1612","52","3459","79","96474","96474","8732325","0.0241","54","60","73","127","55","54","Serbia"
"Seychelles","132","","0","","126","6","","1341","","0","","98431","","","","107","","114","195","Seychelles"
"Sierra Leone","1969","8","9","","1536","364","","246","9","0","","7998386","0.043","","137","173","79","104","195","Sierra Leone"
"Singapore","56099","68","5","0","53119","2953","","9579","5","298108","298108","5856690","0.0005","15","155","22","192","108","15","Singapore"
"Sint Maarten","348","15","396","","133","198","3","8104","396","46179","46179","42942","0.1133","92","15","29","18","15","92","Sint Maarten"
"Slovakia","3102","80","6","","2014","1055","8","568","6","55681","55681","5460016","0.0161","83","148","142","151","107","83","Slovakia"
"Slovenia","2536","43","62","","2079","328","3","1220","62","70752","70752","2078978","0.0584","66","71","112","46","65","66","Slovenia"
"Somalia","3265","","6","","2396","776","","205","6","0","","15950038","0.0374","","148","180","85","107","195","Somalia"
"South Africa","599940","3880","212","195","497169","90153","539","10098","212","58581","58581","59410167","0.0248","82","30","20","123","29","82","South Africa"
"South Sudan","2494","","4","","1290","1157","","222","4","1074","1074","11211590","0.0352","191","162","175","87","109","190","South Sudan"
"Spain","404229","3349","616","16","0","0","522","8645","616","170147","170147","46757339","1","29","5","25","1","5","29","Spain"
"Sri Lanka","2918","16","0.5","","2765","142","1","136","0.5","9102","9102","21425788","0.004","154","183","187","189","113","154","Sri Lanka"
"St. Barth","16","","0","","9","7","","1619","","171946","171946","9881","","28","","98","","114","28","St. Barth"
"St. Vincent Grenadines","58","","0","","56","2","","523","","27327","27327","110989","","117","","148","","114","117","St. Vincent Grenadines"
"Sudan","12582","36","18","4","6456","5314","","286","18","9","9","43982802","0.1117","194","114","166","19","95","193","Sudan"
"Suriname","3366","71","94","1","2383","928","20","5731","94","10026","10026","587354","0.0226","151","56","45","131","51","151","Suriname"
"Sweden","85810","","574","5","0","0","27","8489","574","101900","101900","10108001","1","53","8","26","1","8","53","Sweden"
"Switzerland","39026","266","231","2","33900","3128","15","4505","231","105073","105073","8663370","0.0557","50","27","54","51","26","50","Switzerland"
"Syria","2008","81","5","4","460","1466","","114","5","0","","17555909","0.1513","","155","189","11","108","195","Syria"
"Taiwan","486","","0.3","","457","22","","20","0.3","3592","3592","23822843","0.0151","176","187","207","156","113","176","Taiwan"
"Tajikistan","8203","37","7","1","7006","1131","","858","7","0","","9565683","0.0093","","146","129","170","106","195","Tajikistan"
"Tanzania","509","","0.4","","183","305","7","8","0.4","0","","59951725","0.1029","","184","212","23","113","195","Tanzania"
"Thailand","3389","7","0.8","","3218","113","1","49","0.8","10730","10730","69824575","0.0177","147","180","201","146","113","147","Thailand"
"Timor-Leste","25","","0","","25","0","","19","","3206","3206","1321774","","177","","208","","114","177","Timor-Leste"
"Togo","1212","22","3","","878","307","2","146","3","6713","6713","8304024","0.0298","164","169","185","102","110","164","Togo"
"Trinidad and Tobago","767","81","9","","140","615","3","548","9","12882","12882","1400123","0.0789","143","137","145","31","104","143","Trinidad and Tobago"
"Tunisia","2543","116","5","3","1397","1083","8","215","5","10071","10071","11835528","0.0432","149","155","177","78","108","149","Tunisia"
"Turkey","254520","1412","72","19","234797","13665","735","3013","72","71770","71770","84463026","0.0252","65","63","79","119","58","65","Turkey"
"Turks and Caicos","327","12","52","","56","269","3","8430","52","50015","50015","38788","0.0345","88","77","27","89","70","88","Turks and Caicos"
"UAE","65802","461","37","2","58153","7280","","6642","37","632496","632496","9906649","0.0063","7","89","37","183","80","7","UAE"
"UK","322280","1182","609","6","0","0","70","4744","609","223407","223407","67935641","1","18","6","53","1","6","18","UK"
"USA","5746272","45341","536","1090","3095484","2473364","16817","17346","536","222984","222984","331272237","0.0542","19","10","8","53","10","19","USA"
"Uganda","1750","94","0.4","3","1194","537","","38","0.4","7332","7332","45923374","0.0157","162","184","204","153","113","162","Uganda"
"Ukraine","98537","2134","50","40","50441","45912","177","2255","50","31049","31049","43695861","0.0415","113","80","88","81","72","113","Ukraine"
"Uruguay","1506","13","12","1","1242","223","3","433","12","44435","44435","3475415","0.032","95","132","155","96","101","95","Uruguay"
"Uzbekistan","37547","435","8","4","33261","4034","410","1120","8","41089","41089","33534589","0.0075","100","141","114","177","105","100","Uzbekistan"
"Vatican City","12","","0","","12","0","","14981","","0","","801","","","","12","","114","195","Vatican City"
"Venezuela","37567","699","11","8","26330","10926","85","1322","11","59056","59056","28424431","0.0117","80","133","108","164","102","80","Venezuela"
"Vietnam","1007","13","0.3","","542","440","","10","0.3","8385","8385","97458937","0.0441","157","187","211","71","113","157","Vietnam"
"Western Sahara","10","","2","","8","1","","17","2","0","","599245","0.1111","","176","209","21","111","195","Western Sahara"
"Yemen","1899","7","18","2","1058","300","","63","18","4","4","29912082","0.3383","195","114","196","7","95","194","Yemen"
"Zambia","10372","154","15","5","9126","972","","562","15","5584","5584","18449899","0.0291","171","125","143","108","98","171","Zambia"
"Zimbabwe","5745","102","10","1","4525","1069","","386","10","10056","10056","14892083","0.0323","150","134","157","95","103","150","Zimbabwe"
